Exercise,Difficulty Level,Primary Equipment,Prime Mover Muscle,Secondary Muscle,Body Region
Ring Skin the Cat,Intermediate,Gymnastic Rings,Latissimus Dorsi,Rectus Abdominis,Upper Body
Double Kettlebell Bottoms Up Overhead Bulgarian Split Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Overhead Contralateral Bulgarian Split Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Contralateral Bulgarian Split Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Ipsilateral Bulgarian Split Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Front Rack Bulgarian Split Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Suitcase Bulgarian Split Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bulgarian Split Squat Thruster ,Advanced,Kettlebell,Anterior Deltoids,Quadriceps Femoris,Full Body
Double Kettlebell Bottoms Up Bulgarian Split Squat Thruster,Advanced,Kettlebell,Anterior Deltoids,Quadriceps Femoris,Full Body
Single Arm Kettlebell Bottoms Up Front Rack Contralateral Bulgarian Split Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Front Rack Contralateral Bulgarian Split Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Ring Feet Elevated Row,Intermediate,Gymnastic Rings,Latissimus Dorsi,Biceps Brachii,Upper Body
Single Arm Kettlebell Bottoms Up Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Ring Feet Elevated Bulgarian Row,Intermediate,Gymnastic Rings,Latissimus Dorsi,Biceps Brachii,Upper Body
Ring Feet Elevated Archer Row,Intermediate,Gymnastic Rings,Latissimus Dorsi,Biceps Brachii,Upper Body
Ring Push Up,Intermediate,Gymnastic Rings,Pectoralis Major,Triceps Brachii,Upper Body
Ring Chest Fly,Intermediate,Gymnastic Rings,Pectoralis Major,Anterior Deltoids,Upper Body
Double Kettlebell Feet Elevated Push Up,Intermediate,Kettlebell,Pectoralis Major,Triceps Brachii,Upper Body
Single Arm Kettlebell Bottoms Up Half Kneeling Contralateral Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Parallette Alternating Shoulder Tap Push Up,Intermediate,Parallette Bars,Pectoralis Major,Triceps Brachii,Upper Body
Parallette Dive Bomber Push Up,Intermediate,Parallette Bars,Pectoralis Major,Triceps Brachii,Upper Body
Barbell Front Rack Bulgarian Split Squat,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Back Rack Bulgarian Split Squat,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Suspension Contralateral Pistol Squat,Advanced,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Front Rack Alternating Curtsy Lunge,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Dragon Flag,Advanced,Bodyweight,Rectus Abdominis,,Core
Single Arm Kettlebell Front Rack Ipsilateral Bulgarian Split Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Dive Bomber Push Up,Intermediate,Bodyweight,Pectoralis Major,Triceps Brachii,Upper Body
Barbell Staggered Stance Push Press,Intermediate,Barbell,Anterior Deltoids,Triceps Brachii,Upper Body
Parallette Full Planche,Expert,Parallette Bars,Rectus Abdominis,,Full Body
Double Dumbbell Renegade Row to Push Up,Intermediate,Dumbbell,Latissimus Dorsi,,Upper Body
Ring Inverted Iron Cross,Grand Master,Gymnastic Rings,Latissimus Dorsi,Biceps Brachii,Full Body
Barbell Reverse Grip Front Raise,Novice,Barbell,Anterior Deltoids,Pectoralis Major,Upper Body
Ring Tuck Planche,Advanced,Gymnastic Rings,Rectus Abdominis,Biceps Brachii,Full Body
Barbell Seated Reverse Grip Wrist Curl,Intermediate,Barbell,Brachioradialis,,Upper Body
Ring Full Planche,Master,Gymnastic Rings,Rectus Abdominis,,Full Body
Alternating Single Arm Parallette Push Up,Intermediate,Parallette Bars,Pectoralis Major,Triceps Brachii,Upper Body
Ring Scapular Pull Up,Intermediate,Gymnastic Rings,Latissimus Dorsi,Rhomboids,Upper Body
Ring Grip Full Planche,Grand Master,Gymnastic Rings,Rectus Abdominis,,Full Body
Bodyweight Full Planche,Expert,Bodyweight,Rectus Abdominis,,Full Body
Cable Quadruped Hip Abduction,Novice,Cable,Gluteus Medius,Gluteus Minimus,Lower Body
Barbell Reverse Grip Bench Press,Intermediate,Barbell,Pectoralis Major,,Upper Body
Double Kettlebell Turkish Get Up,Advanced,Kettlebell,Obliques,Rectus Abdominis,Full Body
Single Arm Kettlebell Rotational Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,,Upper Body
Single Arm Kettlebell Z Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Parallette Straddle Planche,Expert,Parallette Bars,Rectus Abdominis,,Full Body
Single Arm Kettlebell Sots Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Ring Straddle Planche,Master,Gymnastic Rings,Rectus Abdominis,,Full Body
Double Kettlebell Renegade Row ,Intermediate,Kettlebell,Latissimus Dorsi,,Upper Body
Barbell Turkish Sit Up,Intermediate,Barbell,Rectus Abdominis,Anterior Deltoids,Core
Plate Turkish Sit Up,Intermediate,Weight Plate,Rectus Abdominis,Anterior Deltoids,Core
Double Kettlebell Renegade Row to Push Up,Intermediate,Kettlebell,Latissimus Dorsi,,Upper Body
Single Arm Barbell Turkish Sit Up,Advanced,Barbell,Rectus Abdominis,Anterior Deltoids,Core
Dumbbell Crush Grip Romanian Deadlift,Beginner,Dumbbell,Biceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Half Kneeling Contralateral Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Knee Over Toe Split Squat Thruster,Advanced,Kettlebell,Anterior Deltoids,Quadriceps Femoris,Full Body
Double Kettlebell Bottoms Up Knee Over Toe Split Squat Thruster,Advanced,Kettlebell,Anterior Deltoids,Quadriceps Femoris,Full Body
Single Arm Kettlebell Bottoms Up Z Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Bottoms Up Z Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Sots Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Alternating Double Kettlebell Sots Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Seesaw Sots Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Dumbbell Crush Grip Hollow Body Flutter Kicks,Intermediate,Dumbbell,Rectus Abdominis,Iliopsoas,Core
Double Kettlebell Bottoms Up Seesaw Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Parallette Crow Pose,Intermediate,Parallette Bars,Rectus Abdominis,,Full Body
Double Kettlebell Bottoms Up Seesaw Z Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Suspension Single Leg Standing Bent Knee Reverse Fly,Intermediate,Suspension Trainer,Posterior Deltoids,,Upper Body
Kettlebell Bottoms Up Horn Grip Goblet Bulgarian Split Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Snatch to Overhead Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Full Body
Suspension Single Leg Standing Bent Knee Y Raise,Intermediate,Suspension Trainer,Posterior Deltoids,,Upper Body
Suspension Single Leg Standing Bent Knee Face Pull,Intermediate,Suspension Trainer,Posterior Deltoids,Infraspinatus,Upper Body
Single Arm Kettlebell Half Kneeling Dead Clean,Intermediate,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Barbell Overhead March,Intermediate,Barbell,Iliopsoas,Rectus Abdominis,Core
Single Arm Barbell Overhead March,Advanced,Barbell,Iliopsoas,Rectus Abdominis,Core
Single Arm Kettlebell Half Kneeling Clean,Intermediate,Kettlebell,Gluteus Maximus,,Full Body
Single Arm Kettlebell Half Kneeling Snatch,Intermediate,Kettlebell,Gluteus Maximus,Anterior Deltoids ,Full Body
Double Kettlebell Front Rack Alternating Curtsy Lunge,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Lateral Lunge,Beginner,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Bottoms Up Horn Grip Toe Balance Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Dead Clean to Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Double Kettlebell Dead Clean to Thruster,Intermediate,Kettlebell,Anterior Deltoids,Quadriceps Femoris,Full Body
Suspension Single Leg Standing Bent Knee Face Pull to Overhead Press,Intermediate,Suspension Trainer,Posterior Deltoids,Infraspinatus,Upper Body
Suspension Single Leg Standing Bent Knee Cuban Press,Intermediate,Suspension Trainer,Posterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Single Leg Standing Bent Knee Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Single Arm Kettlebell Dead Snatch,Intermediate,Kettlebell,Gluteus Maximus,Anterior Deltoids ,Full Body
Alternating Single Arm Kettlebell Dead Snatch,Intermediate,Kettlebell,Gluteus Maximus,Anterior Deltoids ,Full Body
Double Kettlebell Dead Half Snatch,Intermediate,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Slider Barbell Overhead Reverse Lunge,Advanced,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Single Leg Standing Bent Knee Contralateral Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Suspension Single Leg Standing Bent Knee Bicep Curl,Intermediate,Suspension Trainer,Biceps Brachii,Brachialis,Upper Body
Double Kettlebell Otis Up,Novice,Kettlebell,Rectus Abdominis,Iliopsoas,Core
Single Arm Kettlebell Otis Up,Novice,Kettlebell,Rectus Abdominis,Iliopsoas,Core
Kettlebell Horn Grip Otis Up,Novice,Kettlebell,Rectus Abdominis,Iliopsoas,Core
Double Kettlebell Bottoms Up Otis Up,Intermediate,Kettlebell,Rectus Abdominis,Iliopsoas,Core
Single Arm Kettlebell Bottoms Up Otis Up,Intermediate,Kettlebell,Rectus Abdominis,Iliopsoas,Core
Double Dumbbell Staggered Stance Romanian Deadlift,Novice,Dumbbell,Biceps Femoris,Gluteus Maximus,Lower Body
Barbell Staggered Stance Romanian Deadlift,Intermediate,Barbell,Biceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Bottoms Up Turkish Sit Up,Intermediate,Kettlebell,Rectus Abdominis,Anterior Deltoids,Core
Ring Hanging Knees to Elbows,Advanced,Gymnastic Rings,Rectus Abdominis,Iliopsoas,Core
Single Arm Plate Teacup,Intermediate,Weight Plate,Posterior Deltoids,Anterior Deltoids,Upper Body
Double Kettlebell Bottoms Up Turkish Sit Up,Intermediate,Kettlebell,Rectus Abdominis,Anterior Deltoids,Core
Superband Assisted Nordic Hamstring Curl,Intermediate,Superband,Biceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Turkish Sit Up to Z Press,Intermediate,Kettlebell,Rectus Abdominis,,Full Body
Bodyweight Alternating Shin Box Hip Extension,Intermediate,Bodyweight,Gluteus Maximus,,Lower Body
Single Arm Kettlebell Turkish Sit Up to Z Press,Intermediate,Kettlebell,Rectus Abdominis,,Full Body
Single Arm Kettlebell Bottoms Up Turkish Sit Up to Z Press,Intermediate,Kettlebell,Rectus Abdominis,,Full Body
Ring Chin Up,Intermediate,Gymnastic Rings,Biceps Brachii,Latissimus Dorsi,Upper Body
Single Arm Kettlebell Rotational Thruster,Novice,Kettlebell,Quadriceps Femoris,Anterior Deltoids,Full Body
Double Kettlebell Bottoms Up Front Rack Low Switch Cossack Squat,Advanced,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Kettlebell Bottoms Up Dead Clean,Intermediate,Kettlebell,Gluteus Maximus,Biceps Femoris,Full Body
Single Arm Dumbbell Suitcase Carry,Beginner,Dumbbell,Brachioradialis,,Full Body
Double Dumbbell Glute Bridge Isometric Bench Press,Novice,Dumbbell,Pectoralis Major,Triceps Brachii,Full Body
Double Kettlebell Bottoms Up Dead Clean to Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Double Kettlebell Bottoms Up Dead Clean to Thruster,Intermediate,Kettlebell,Anterior Deltoids,Quadriceps Femoris,Full Body
Bodyweight Foot Elevated Cossack Squat,Beginner,Bodyweight,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Overhead Foot Elevated Cossack Squat,Advanced,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Landmine Isometric Split Squat Oblique Twist,Advanced,Landmine,Obliques,,Core
Barbell Back Rack Foot Elevated Cossack Squat,Advanced,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Front Rack Foot Elevated Cossack Squat,Advanced,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Feet Elevated Inverted Row,Intermediate,Barbell,Latissimus Dorsi,Biceps Brachii,Upper Body
Barbell Overhead Low Switch Cossack Squat,Advanced,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Double Kettlebell Windmill,Advanced,Kettlebell,Obliques,Rectus Abdominis,Core
Double Kettlebell Dragon Flag,Expert,Kettlebell,Rectus Abdominis,,Core
Barbell Staggered Stance Overhead Press,Intermediate,Barbell,Anterior Deltoids,Triceps Brachii,Upper Body
Double Kettlebell Front Rack 90/90 Hip Shift to Alternating Overhead Press,Advanced,Kettlebell,Anterior Deltoids,,Full Body
Kettlebell Dead Bug,Novice,Kettlebell,Rectus Abdominis,Obliques,Core
Battle Rope Isometric Split Squat Alternating Side Slam,Advanced,Battle Ropes,Obliques,Rectus Abdominis,Core
Superband Standing Hip Adduction,Novice,Superband,Adductor Magnus,,Lower Body
Superband Lateral Step Hip Adduction,Novice,Superband,Adductor Magnus,,Lower Body
Double Kettlebell Bottoms Up Front Rack Walking Lunge,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Dead Clean to Horn Grip Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Front Rack March,Intermediate,Kettlebell,Iliopsoas,Rectus Abdominis,Core
Double Kettlebell Bottoms Up Overhead March,Intermediate,Kettlebell,Iliopsoas,Rectus Abdominis,Core
Suspension Alternating Cossack Squat,Beginner,Suspension Trainer,Quadriceps Femoris,Adductor Magnus,Lower Body
Battle Rope Single Leg Standing Alternating Wave,Intermediate,Battle Ropes,Biceps Brachii,,Upper Body
Superband Assisted Dips,Novice,Superband,Triceps Brachii ,Pectoralis Major,Upper Body
Battle Rope Isometric Split Squat Alternating Wave,Advanced,Battle Ropes,Biceps Brachii,Quadriceps Femoris,Full Body
Alternating Single Arm Kettlebell Ballistic Row,Intermediate,Kettlebell,Latissimus Dorsi,Biceps Brachii,Upper Body
Double Kettlebell Bottoms Up Overhead Press,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Upper Body
Suspension Split Squat,Beginner,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Tactical Clean,Advanced,Kettlebell,Gluteus Maximus,,Full Body
Suspension Cyclist Squat,Beginner,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell 360,Intermediate,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Single Arm Suspension Contralateral Skater Squat,Intermediate,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Macebell 360,Intermediate,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Double Kettlebell Front Rack Pivot Split Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Front Rack Pivot Split Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Bottoms Up Overhead Pivot Split Squat,Advanced,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Bodyweight Cyclist Squat,Beginner,Bodyweight,Quadriceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Half Kneeling Rotational Swing,Intermediate,Kettlebell,Obliques,Rectus Abdominis,Full Body
Double Kettlebell Clean to Push Jerk,Intermediate,Kettlebell,Anterior Deltoids,Triceps Brachii,Full Body
Alternating Single Arm Kettlebell Clean to Push Jerk,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Kettlebell Isometric Split Squat Low to High Chop,Advanced,Kettlebell,Obliques,Rectus Abdominis,Core
Kettlebell Isometric Split Squat Alternating Halo,Advanced,Kettlebell,Posterior Deltoids,Medial Deltoids,Full Body
Double Kettlebell Front Rack March,Novice,Kettlebell,Iliopsoas,Rectus Abdominis,Core
Double Kettlebell Suitcase March,Novice,Kettlebell,Iliopsoas,Rectus Abdominis,Core
Single Arm Kettlebell Rotational Half Snatch,Advanced,Kettlebell,Anterior Deltoids,Obliques,Full Body
Double Kettlebell Dead Clean to Front Rack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Front Rack Alternating Shin Box Hip Extension,Advanced,Kettlebell,Gluteus Maximus,,Lower Body
Double Kettlebell Overhead Alternating Shin Box Hip Extension,Advanced,Kettlebell,Gluteus Maximus,,Lower Body
Double Kettlebell Bottoms Up Turkish Get Up,Expert,Kettlebell,Obliques,Rectus Abdominis,Full Body
Slider Single Leg Hamstring Curl,Advanced,Sliders,Biceps Femoris,Gluteus Maximus,Lower Body
Kettlebell Staggered Stance Rotational Swing,Intermediate,Kettlebell,Obliques,Rectus Abdominis,Full Body
Single Arm Suspension Cyclist Squat,Beginner,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Alternating Curtsy Lunge Pass Through,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Low Bar Pause Back Squat,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Front Rack Pause Squat,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell High Bar Pause Back Squat,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Overhead Pause Squat,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Walking Lunge Pass Through,Intermediate,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Ring Hanging Knees to Wrists,Advanced,Gymnastic Rings,Rectus Abdominis,Iliopsoas,Core
Slider Suspension Lateral Lunge,Beginner,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell 10 to 2 ,Intermediate,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Dumbbell Goblet Cyclist Squat,Novice,Dumbbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Barbell Front Rack Lateral Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Slider Barbell Back Rack Lateral Lunge,Intermediate,Sliders,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Overhead Alternating Cossack Squat,Advanced,Barbell,Quadriceps Femoris,Adductor Magnus,Lower Body
Barbell Overhead Alternating Reverse Lunge,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Single Leg Standing Bent Knee Ballistic Curl,Intermediate,Macebell,Biceps Brachii,,Upper Body
Double Kettlebell Suitcase Carry,Beginner,Kettlebell,Brachioradialis,,Full Body
Single Arm Kettlebell Suitcase Carry,Beginner,Kettlebell,Brachioradialis,Obliques,Full Body
Double Kettlebell Bottoms Up Front Rack Cossack Squat,Intermediate,Kettlebell,Quadriceps Femoris,Adductor Magnus,Lower Body
Alternating Single Arm Kettlebell Knee Hover Quadruped Pull Through,Intermediate,Kettlebell,Rectus Abdominis,Obliques,Core
Single Arm Kettlebell High Pull,Intermediate,Kettlebell,Posterior Deltoids,,Full Body
Double Indian Club Outer Heart Shaped Swing,Intermediate,Indian Club,Posterior Deltoids,,Upper Body
Alternating Single Arm Kettlebell Thruster,Intermediate,Kettlebell,Quadriceps Femoris,Anterior Deltoids,Full Body
Double Kettlebell Suitcase Knee Over Toe Split Squat,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Kettlebell Sumo Deadlift to Push Up,Intermediate,Kettlebell,Latissimus Dorsi,Gluteus Maximus,Full Body
Alternating Single Arm Kettlebell Clean to Thruster,Intermediate,Kettlebell,Anterior Deltoids,Gluteus Maximus,Full Body
Suspension Alternating Curtsy Lunge,Novice,Suspension Trainer,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Single Leg Balance Transfer,Intermediate,Kettlebell,Rectus Abdominis,Gluteus Medius,Full Body
Barbell Front Rack Alternating Forward Lunge,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Front Rack Alternating Reverse Lunge,Intermediate,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Barbell Overhead Alternating Forward Lunge,Advanced,Barbell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Macebell Alternating 360,Intermediate,Macebell,Posterior Deltoids,Rectus Abdominis,Upper Body
Clubbell Shield Cast,Intermediate,Clubbell,Posterior Deltoids,Rectus Abdominis,Upper Body
Single Arm Clubbell Shield Cast,Intermediate,Clubbell,Posterior Deltoids,Rectus Abdominis,Upper Body
Macebell Barbarian Squat,Novice,Macebell,Quadriceps Femoris,Posterior Deltoids,Full Body
Single Arm Macebell Barbarian Squat,Intermediate,Macebell,Quadriceps Femoris,Posterior Deltoids,Full Body
Alternating Double Clubbell Shield Cast,Intermediate,Clubbell,Posterior Deltoids,Rectus Abdominis,Upper Body
Double Clubbell Side Shoulder Cast,Intermediate,Clubbell,Posterior Deltoids,,Upper Body
Macebell Isometric Split Squat Low to High Chop,Advanced,Macebell,Obliques,Rectus Abdominis,Full Body
Double Clubbell Side Shoulder Cast to Side Flag Press,Intermediate,Clubbell,Posterior Deltoids,,Upper Body
Clubbell Mill,Intermediate,Clubbell,Posterior Deltoids,Gluteus Maximus,Upper Body
Clubbell Half Kneeling Shield Cast,Intermediate,Clubbell,Posterior Deltoids,Rectus Abdominis,Upper Body
Double Clubbell Iron Cross,Intermediate,Clubbell,Posterior Deltoids,,Upper Body
Double Clubbell Half Kneeling Iron Cross,Intermediate,Clubbell,Posterior Deltoids,,Upper Body
Clubbell Gamma Cast,Intermediate,Clubbell,Posterior Deltoids,Rectus Abdominis,Upper Body
Clubbell Half Kneeling Gamma Cast,Intermediate,Clubbell,Posterior Deltoids,Rectus Abdominis,Upper Body
Double Clubbell Side Flag Press,Intermediate,Clubbell,Lateral Deltoids,,Upper Body
Single Arm Kettlebell Suitcase Foot Elevated Contralateral Knee Over Toe Split Squat,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Single Arm Kettlebell Suitcase Contralateral Knee Over Toe Split Squat,Novice,Kettlebell,Quadriceps Femoris,Gluteus Maximus,Lower Body
Double Indian Club Inner Heart Shaped Swing,Intermediate,Indian Club,Posterior Deltoids,,Upper Body
Alternating Double Indian Club Inner Heart Shaped Swing,Intermediate,Indian Club,Posterior Deltoids,,Upper Body
Alternating Double Clubbell Side Flag Press,Intermediate,Clubbell,Lateral Deltoids,,Upper Body
Single Arm Clubbell Side Flag Press,Intermediate,Clubbell,Lateral Deltoids,,Upper Body
Single Arm Clubbell Inside Circle,Intermediate,Clubbell,Rectus Abdominis,Gluteus Maximus,Full Body
Alternating Double Clubbell Inside Circle,Intermediate,Clubbell,Rectus Abdominis,Gluteus Maximus,Full Body
Single Arm Clubbell Side Shoulder Cast,Intermediate,Clubbell,Posterior Deltoids,,Upper Body
Barbell Reverse Grip Bicep Curl,Novice,Barbell,Brachioradialis,Biceps Brachii,Upper Body
Single Arm Clubbell Reverse Mill,Intermediate,Clubbell,Posterior Deltoids,Gluteus Maximus,Upper Body
Clubbell Clean to Barbarian Squat,Intermediate,Clubbell,Quadriceps Femoris,Gluteus Maximus,Full Body
Clubbell Tall Kneeling Gamma Cast,Intermediate,Clubbell,Posterior Deltoids,Rectus Abdominis,Upper Body
Clubbell Inside Circle,Intermediate,Clubbell,Rectus Abdominis,Gluteus Maximus,Full Body
Clubbell Tall Kneeling Shield Cast,Intermediate,Clubbell,Posterior Deltoids,Rectus Abdominis,Upper Body
Clubbell Isometric Split Squat Shield Cast,Advanced,Clubbell,Posterior Deltoids,Quadriceps Femoris,Full Body
Clubbell Single Leg Standing Bent Knee Shield Cast,Advanced,Clubbell,Posterior Deltoids,Rectus Abdominis,Full Body
Single Arm Clubbell Tall Kneeling Shield Cast,Intermediate,Clubbell,Posterior Deltoids,Rectus Abdominis,Upper Body
Single Arm Clubbell Mill,Intermediate,Clubbell,Posterior Deltoids,Gluteus Maximus,Upper Body
Double Clubbell Isometric Split Squat Iron Cross,Advanced,Clubbell,Posterior Deltoids,Quadriceps Femoris,Full Body
Double Clubbell Single Leg Standing Bent Knee Iron Cross,Advanced,Clubbell,Posterior Deltoids,Quadriceps Femoris,Full Body
Double Kettlebell Suitcase Deadlift,Beginner,Kettlebell,Latissimus Dorsi,Gluteus Maximus,Full Body
Double Kettlebell Bottoms Up Clean,Intermediate,Kettlebell,Gluteus Maximus,,Full Body
Double Clubbell Mill,Intermediate,Clubbell,Posterior Deltoids,Gluteus Maximus,Upper Body
Alternating Single Arm Clubbell Mill,Intermediate,Clubbell,Posterior Deltoids,Gluteus Maximus,Upper Body
Clubbell Isometric Split Squat Gamma Cast,Advanced,Clubbell,Posterior Deltoids,Quadriceps Femoris,Full Body
Clubbell Single Leg Standing Bent Knee Gamma Cast,Advanced,Clubbell,Posterior Deltoids,Rectus Abdominis,Full Body
Macebell Alternating 360 to Ballistic Curl,Intermediate,Macebell,Posterior Deltoids,Biceps Brachii,Upper Body
Bar Chin Up,Intermediate,Pull Up Bar,Biceps Brachii,Latissimus Dorsi,Upper Body
Bar Pull Up,Intermediate,Pull Up Bar,Latissimus Dorsi,Biceps Brachii,Upper Body
Single Arm Clubbell Side Swing,Intermediate,Clubbell,Obliques,Gluteus Maximus,Full Body
Single Arm Clubbell Inside Pendulum,Intermediate,Clubbell,Obliques,Gluteus Maximus,Full Body
Double Clubbell Swipe,Intermediate,Clubbell,Gluteus Maximus,Biceps Femoris,Full Body
Single Arm Clubbell Swipe,Intermediate,Clubbell,Gluteus Maximus,Biceps Femoris,Full Body
Single Arm Clubbell Cross Body Swipe,Intermediate,Clubbell,Obliques,Gluteus Maximus,Full Body
Bar Scapular Pull Up,Intermediate,Pull Up Bar,Latissimus Dorsi,Rhomboids,Upper Body
Single Arm Clubbell Inside Circle to Shield Cast,Advanced,Clubbell,Posterior Deltoids,Rectus Abdominis,Full Body
Clubbell Barbarian Squat,Novice,Clubbell,Quadriceps Femoris,Posterior Deltoids,Full Body
